copy_cossim,cossim,encoder,horizon_step,horizon_trained,model,n_windows,seed
0.892281,0.885276,vit_s16,2,16,mlp_residual_single,3619,1
0.870598,0.86077,vit_s16,3,16,mlp_residual_single,3619,1
0.85491,0.8444,vit_s16,4,16,mlp_residual_single,3619,1
0.842103,0.832324,vit_s16,5,16,mlp_residual_single,3619,1
0.831306,0.822857,vit_s16,6,16,mlp_residual_single,3619,1
0.822286,0.815227,vit_s16,7,16,mlp_residual_single,3619,1
0.814083,0.810163,vit_s16,8,16,mlp_residual_single,3619,1
0.807286,0.805411,vit_s16,9,16,mlp_residual_single,3619,1
0.801078,0.801413,vit_s16,10,16,mlp_residual_single,3619,1
0.795418,0.797565,vit_s16,11,16,mlp_residual_single,3619,1
0.790112,0.795464,vit_s16,12,16,mlp_residual_single,3619,1
0.785318,0.790845,vit_s16,13,16,mlp_residual_single,3619,1
0.781305,0.786967,vit_s16,14,16,mlp_residual_single,3619,1
0.777207,0.785479,vit_s16,15,16,mlp_residual_single,3619,1
0.773482,0.783436,vit_s16,16,16,mlp_residual_single,3619,1
0.922684,0.835432,vit_s16,1,16,dit_x0_actseq,3619,2
0.892281,0.826782,vit_s16,2,16,dit_x0_actseq,3619,2
0.870598,0.819661,vit_s16,3,16,dit_x0_actseq,3619,2
0.85491,0.813621,vit_s16,4,16,dit_x0_actseq,3619,2
0.842103,0.809958,vit_s16,5,16,dit_x0_actseq,3619,2
0.831306,0.805763,vit_s16,6,16,dit_x0_actseq,3619,2
0.822286,0.802465,vit_s16,7,16,dit_x0_actseq,3619,2
0.814083,0.799203,vit_s16,8,16,dit_x0_actseq,3619,2
0.807286,0.797143,vit_s16,9,16,dit_x0_actseq,3619,2
0.801078,0.793661,vit_s16,10,16,dit_x0_actseq,3619,2
0.795418,0.790871,vit_s16,11,16,dit_x0_actseq,3619,2
0.790112,0.787969,vit_s16,12,16,dit_x0_actseq,3619,2
0.785318,0.783956,vit_s16,13,16,dit_x0_actseq,3619,2
0.781305,0.781525,vit_s16,14,16,dit_x0_actseq,3619,2
0.777207,0.777882,vit_s16,15,16,dit_x0_actseq,3619,2
0.773482,0.775732,vit_s16,16,16,dit_x0_actseq,3619,2
0.922684,0.914001,vit_s16,1,16,mlp_flat_actseq,3619,2
0.892281,0.878037,vit_s16,2,16,mlp_flat_actseq,3619,2
0.870598,0.856422,vit_s16,3,16,mlp_flat_actseq,3619,2
0.85491,0.843376,vit_s16,4,16,mlp_flat_actseq,3619,2
0.842103,0.834157,vit_s16,5,16,mlp_flat_actseq,3619,2
0.831306,0.827282,vit_s16,6,16,mlp_flat_actseq,3619,2
0.822286,0.821837,vit_s16,7,16,mlp_flat_actseq,3619,2
0.814083,0.816291,vit_s16,8,16,mlp_flat_actseq,3619,2
0.807286,0.812504,vit_s16,9,16,mlp_flat_actseq,3619,2
0.801078,0.808957,vit_s16,10,16,mlp_flat_actseq,3619,2
0.795418,0.805831,vit_s16,11,16,mlp_flat_actseq,3619,2
0.790112,0.80231,vit_s16,12,16,mlp_flat_actseq,3619,2
0.785318,0.798833,vit_s16,13,16,mlp_flat_actseq,3619,2
0.781305,0.795186,vit_s16,14,16,mlp_flat_actseq,3619,2
0.777207,0.791272,vit_s16,15,16,mlp_flat_actseq,3619,2
0.773482,0.787444,vit_s16,16,16,mlp_flat_actseq,3619,2
0.922684,0.799392,vit_s16,1,16,dit_x0_single,3619,2
0.892281,0.796641,vit_s16,2,16,dit_x0_single,3619,2
0.870598,0.793152,vit_s16,3,16,dit_x0_single,3619,2
