encoder,variant,seed,t_start,n_ddim_steps,guidance_w,cossim_h1,cossim_h2,cossim_h3,cossim_h4,mse_h1,z_hat_norm_ratio
vjepa2_rep1,conditioned,1,800,5,1.0,0.9807847799641507,0.9744931157828918,0.9693475080209589,0.9648580281887136,0.12342935797252609,0.9983223821929997
vjepa2_rep1,conditioned,1,980,5,1.0,0.9615928183888395,0.9597301831608835,0.9582098267311142,0.9569696735073047,0.24252542364441132,0.9677896810834503
vjepa2_rep1,conditioned,2,0,5,1.0,0.9870107059088068,0.9784243967859128,0.971430447471606,0.9656219792159243,0.0757003009132319,1.0001729162363366
vjepa2_rep1,conditioned,2,40,5,1.0,0.9866705628905619,0.9781120935254572,0.9711321640507412,0.9653409207124599,0.07765927790363548,1.00018488697537
vjepa2_rep1,conditioned,2,100,5,1.0,0.9852574945574076,0.9767984776374576,0.9698917179843293,0.9641693560129867,0.0858035171619309,1.0002163309643057
vjepa2_rep1,conditioned,2,200,5,1.0,0.9865958274873691,0.9783176169401606,0.9715101590871943,0.9658282417766193,0.07800133471604224,0.9990274007889557
vjepa2_rep1,conditioned,2,400,5,1.0,0.9855668905102958,0.9775503489073186,0.970911255136234,0.9653521902250131,0.08396228663396474,0.9986637238119501
vjepa2_rep1,conditioned,2,600,5,1.0,0.9838149659768707,0.9761778470180333,0.9697991747943254,0.9644413180931135,0.09413837682587081,0.99807910898264
vjepa2_rep1,conditioned,2,800,5,1.0,0.9787230737140246,0.9718120608036754,0.9659294167839089,0.9610197092250916,0.1241188187026344,0.9988911462091249
vjepa2_rep1,conditioned,2,980,5,1.0,0.956573597551998,0.9544179620371465,0.9526161352940031,0.9511325031568433,0.24847087430698797,0.9606900099017723
vjepa2_rep64,conditioned,0,0,5,1.0,0.9912591460094744,0.9834072847255461,0.9760676572454395,0.9699728600233986,0.04651397489757858,1.0008266496163725
vjepa2_rep64,conditioned,0,40,5,1.0,0.990908638756529,0.9830719799457782,0.9757590370438683,0.9696766110138824,0.04836296065088171,1.0008159153104905
vjepa2_rep64,conditioned,0,100,5,1.0,0.9894442715797065,0.9816908307523388,0.9744681009706876,0.9684506458733702,0.05609443834906334,1.0007857451163829
vjepa2_rep64,conditioned,0,200,5,1.0,0.9909759939629822,0.9835004234560347,0.9764306849275354,0.9705131306906075,0.047786568557012785,0.9992249800076057
vjepa2_rep64,conditioned,0,400,5,1.0,0.9902340054270041,0.9830930857316091,0.9762457738307201,0.9704853169789149,0.051689403922515156,0.9988271163997614
vjepa2_rep64,conditioned,0,600,5,1.0,0.9888271768939167,0.9821432261124685,0.9755990485419953,0.9700352713990902,0.059210393586750946,0.9986464314326142
vjepa2_rep64,conditioned,0,800,5,1.0,0.9838303718911829,0.9779181373935495,0.9719643804898978,0.9666656723627857,0.0863869602465942,1.0011932249615334
vjepa2_rep64,conditioned,0,980,5,1.0,0.9622770620241533,0.9601379531097272,0.9580295138263157,0.956019973684488,0.1981092417101553,0.9632572443618135
vjepa2_rep64,conditioned,1,0,5,1.0,0.9916674080183638,0.9841894673166031,0.9771064882195728,0.9711816277005044,0.04611138889195185,1.000453308774247
vjepa2_rep64,conditioned,1,40,5,1.0,0.9913178715104876,0.9838621608004137,0.9767994927312862,0.9708957675638883,0.048046957612763605,1.0004505677386133
vjepa2_rep64,conditioned,1,100,5,1.0,0.9898645302800152,0.9824995064475831,0.9755188976625033,0.9696881923756491,0.05609564914059256,1.0004462512285703
vjepa2_rep64,conditioned,1,200,5,1.0,0.991369284393823,0.984255734218577,0.9774055994839482,0.9716438508865292,0.0474776336024401,0.9982352278207313
vjepa2_rep64,conditioned,1,400,5,1.0,0.9906766102705127,0.9839019747232682,0.9772494700281003,0.9716484364074718,0.05127273318203949,0.9974364367620886
vjepa2_rep64,conditioned,1,600,5,1.0,0.9894359107826178,0.983151719719309,0.9767851152858252,0.9714158349073247,0.058184449095021185,0.996786721605205
vjepa2_rep64,conditioned,1,800,5,1.0,0.9853018714748508,0.9798872596246551,0.973980078773759,0.969008185806739,0.08156349764998316,0.9985267250908609
vjepa2_rep64,conditioned,1,980,5,1.0,0.9650133065707482,0.9631843489460189,0.9608024798497258,0.959069759033113,0.19177289272195014,0.963913406027586
vjepa2_rep64,conditioned,2,0,5,1.0,0.9913445047004391,0.9835232377250293,0.9761078252544216,0.9698783922380221,0.04554873886397017,1.0006736760123305
vjepa2_rep64,conditioned,2,40,5,1.0,0.9909808469843789,0.9831857929416282,0.9757918649811788,0.9695787283740244,0.047450896492081826,1.0006728662834077
vjepa2_rep64,conditioned,2,100,5,1.0,0.989466607163678,0.9817661680315535,0.9744591354817829,0.9683170526268342,0.05537484149295788,1.00067161940022
vjepa2_rep64,conditioned,2,200,5,1.0,0.9910940855582012,0.9836982780550872,0.9765432470067882,0.9704719433641056,0.04655527204005651,0.9980952890614091
vjepa2_rep64,conditioned,2,400,5,1.0,0.9903668461525258,0.9833481847238972,0.9764189451773418,0.9705014831576758,0.050315451393226,0.9971520826063813
vjepa2_rep64,conditioned,2,600,5,1.0,0.9890018856642012,0.9824965519754622,0.9758940529704512,0.9702017763528157,0.05750489415311136,0.9962467744455317
vjepa2_rep64,conditioned,2,800,5,1.0,0.9845494764672585,0.978906084853667,0.972886916345546,0.9676193157054551,0.08133604465364244,0.997050060310455
vjepa2_rep64,conditioned,2,980,5,1.0,0.9634193551344589,0.9614596876365097,0.9588918888298298,0.9569019473199586,0.19058185759715257,0.9594252316729758
vq_track,conditioned,0,0,5,1.0,0.9952554275110037,0.9928975489817548,0.9910730114500557,0.9896178139072214,0.0010257423274898925,0.9988483106041888
vq_track,conditioned,0,40,5,1.0,0.994202695664587,0.9918506803229233,0.9900378220018414,0.9885849510090094,0.0011713119659557028,0.9992294315878509
vq_track,conditioned,0,100,5,1.0,0.9898741236910387,0.987558306088459,0.9857800426155818,0.9843492108443761,0.001780368780920395,1.0006745307071345
vq_track,conditioned,0,200,5,1.0,0.9949995210897132,0.9927142295126414,0.9909400531651239,0.9895134218549966,0.001064806438268914,0.9986189893621162
vq_track,conditioned,0,400,5,1.0,0.9944172472196172,0.9921730521596827,0.9904339148519136,0.9890175154341567,0.001157861642407511,0.9990787384331069
vq_track,conditioned,0,600,5,1.0,0.9928494207224166,0.9906628649708618,0.9889640237907132,0.9875496869422474,0.001414538511168057,1.0002696061682153
vq_track,conditioned,0,800,5,1.0,0.9847760655427248,0.9827867533628692,0.9811374398918032,0.9796728537869774,0.002770166956183875,1.007000192370614
vq_track,conditioned,0,980,5,1.0,0.9255716313645285,0.9249932524418343,0.9252228090124699,0.924830920143219,0.027323174950138935,0.8720580208303855
vq_track,conditioned,1,0,5,1.0,0.9952554225833637,0.9928975496857033,0.9910730058184671,0.9896178160190671,0.001025742297628793,0.9988482930299725
vq_track,conditioned,1,40,5,1.0,0.9942020219858116,0.9918512786792024,0.9900336996790535,0.9885890085685295,0.0011712351484280228,0.9992110440000754
vq_track,conditioned,1,100,5,1.0,0.9898709643698856,0.987559126892484,0.9857681346216816,0.98435291854146,0.001780321513249175,1.0006350025268949
vq_track,conditioned,1,200,5,1.0,0.99500577074506,0.9927185257107245,0.9909540490704635,0.9895403499993963,0.001064454081593228,0.9986456740979521
