model,encoder,variant,horizon,cossim_mean,cossim_std_seed,mse_mean,mse_std_seed,n_seeds,n_test_windows,source
dit,vq_track,conditioned,1,0.5013050653767731,0.004987513258747154,0.20454963579193697,0.001126861632823752,3,5419,rollout_results.json
dit,vq_track,conditioned,2,0.4960419610908069,0.003659414009336207,0.20661615933807032,0.0016873147608374198,3,5419,rollout_results.json
dit,vq_track,conditioned,3,0.49860242856650977,0.009828818499607546,0.20387008238991464,0.002223237796449549,3,5419,rollout_results.json
dit,vq_track,conditioned,4,0.496865101345147,0.012400385448874266,0.20547261226072355,0.0025871152823676675,3,5419,rollout_results.json
dit,vq_track,unconditioned,1,0.5145874141935507,0.009742748901323402,0.19749515628714973,0.00414336659273071,3,5419,rollout_results.json
dit,vq_track,unconditioned,2,0.5090515306605004,0.0077733181651558035,0.1996416246904954,0.004816062579789457,3,5419,rollout_results.json
dit,vq_track,unconditioned,3,0.5115973446255806,0.014067621009935069,0.19697813944615084,0.005435153455898584,3,5419,rollout_results.json
dit,vq_track,unconditioned,4,0.5097410506836095,0.017133373601147583,0.19879280932019863,0.005611832550341128,3,5419,rollout_results.json
mlp,vq_track,conditioned,1,0.9935492849763544,3.0170298825642725e-05,0.001316567655235021,1.96852481978607e-05,3,5419,mlp_rollout_results.json
mlp,vq_track,conditioned,2,0.9911875129076009,0.00016043382836540256,0.0020205887098582813,6.305579040817709e-05,3,5419,mlp_rollout_results.json
mlp,vq_track,conditioned,3,0.9893579712402133,0.0001767747732928193,0.0024858623286590606,4.769285365295665e-06,3,5419,mlp_rollout_results.json
mlp,vq_track,conditioned,4,0.9878743210350404,0.00015571195902052025,0.0029036597883069968,2.5143171183099078e-05,3,5419,mlp_rollout_results.json
mlp,vq_track,unconditioned,1,0.9945760049847517,7.32048811440314e-05,0.0010549339872595348,1.7197254219011905e-05,3,5419,mlp_rollout_results.json
mlp,vq_track,unconditioned,2,0.992224896328838,0.00012110575840457524,0.0016741848583333482,5.654018432622082e-05,3,5419,mlp_rollout_results.json
mlp,vq_track,unconditioned,3,0.99034007287681,0.00029479425976937845,0.002169428043218236,9.599625068997139e-05,3,5419,mlp_rollout_results.json
mlp,vq_track,unconditioned,4,0.9890531150516112,0.0003543690597616825,0.0024604120362748693,8.550452725908352e-05,3,5419,mlp_rollout_results.json
dit_direct,vq_track,conditioned,1,0.9930408156548008,0.000730912782538906,0.0014707059366585562,0.00017555954950276392,3,5419,dit_direct_rollout_results.json
dit_direct,vq_track,conditioned,2,0.9910314270965638,0.0007080236180057938,0.0020763896363991583,0.00016938804933464493,3,5419,dit_direct_rollout_results.json
dit_direct,vq_track,conditioned,3,0.9893600901253895,0.0006260609602115854,0.0025118577650437065,0.00014706618654348767,3,5419,dit_direct_rollout_results.json
dit_direct,vq_track,conditioned,4,0.9880194003756375,0.0006292483034352003,0.002877750908264472,0.0001384672913012773,3,5419,dit_direct_rollout_results.json
copy_baseline,vq_track,none,1,0.9952554211754666,0.0,,,3,5419,rollout_results.json
copy_baseline,vq_track,none,2,0.9928975515628995,0.0,,,3,5419,rollout_results.json
copy_baseline,vq_track,none,3,0.99107300933821,0.0,,,3,5419,rollout_results.json
copy_baseline,vq_track,none,4,0.9896178155497681,0.0,,,3,5419,rollout_results.json
