encoder,seed,quartile,horizon,dit_x0_cossim,mlp_fair_cossim,mlp_residual_cossim,copy_cossim,dit_minus_mlp_residual,dit_minus_mlp_fair,dit_minus_copy,n_windows
vit_s16,1,Q4 (easiest),4,0.874888,0.876577,0.903388,0.954511,-0.0285,-0.001689,-0.079623,1355
vit_s16,2,Q1 (hardest),1,0.801366,0.843228,0.858222,0.854667,-0.056855,-0.041862,-0.0533,1355
vit_s16,2,Q2,1,0.84059,0.878493,0.906389,0.91613,-0.065799,-0.037903,-0.07554,1355
vit_s16,2,Q3,1,0.873763,0.900791,0.931293,0.942666,-0.05753,-0.027028,-0.068902,1354
vit_s16,2,Q4 (easiest),1,0.880638,0.899941,0.957548,0.977162,-0.07691,-0.019303,-0.096524,1355
vit_s16,2,Q1 (hardest),2,0.786529,0.823648,0.809665,0.800841,-0.023136,-0.037119,-0.014312,1355
vit_s16,2,Q2,2,0.835964,0.867262,0.867055,0.882157,-0.031091,-0.031297,-0.046193,1355
vit_s16,2,Q3,2,0.864533,0.888799,0.899123,0.91944,-0.03459,-0.024266,-0.054907,1354
vit_s16,2,Q4 (easiest),2,0.881075,0.894386,0.932973,0.967977,-0.051898,-0.013311,-0.086902,1355
vit_s16,2,Q1 (hardest),3,0.776707,0.808516,0.780084,0.765786,-0.003377,-0.031809,0.010921,1355
vit_s16,2,Q2,3,0.828669,0.852567,0.841539,0.857548,-0.01287,-0.023898,-0.028879,1355
vit_s16,2,Q3,3,0.860705,0.877779,0.877212,0.901831,-0.016507,-0.017073,-0.041126,1354
vit_s16,2,Q4 (easiest),3,0.880437,0.885338,0.916228,0.960921,-0.035791,-0.004901,-0.080484,1355
vit_s16,2,Q1 (hardest),4,0.765475,0.79502,0.761929,0.741622,0.003546,-0.029546,0.023853,1355
vit_s16,2,Q2,4,0.820085,0.842469,0.826224,0.838702,-0.006139,-0.022384,-0.018617,1355
vit_s16,2,Q3,4,0.857447,0.869977,0.864302,0.887805,-0.006854,-0.01253,-0.030357,1354
vit_s16,2,Q4 (easiest),4,0.878892,0.877843,0.906073,0.954511,-0.027181,0.001048,-0.07562,1355
vjepa2_rep1,0,Q1 (hardest),1,0.962578,0.972262,0.976631,0.969854,-0.014053,-0.009684,-0.007276,1355
vjepa2_rep1,0,Q2,1,0.980707,0.985548,0.988964,0.989802,-0.008257,-0.00484,-0.009094,1355
vjepa2_rep1,0,Q3,1,0.985051,0.988501,0.992085,0.993513,-0.007034,-0.00345,-0.008462,1354
vjepa2_rep1,0,Q4 (easiest),1,0.986105,0.988626,0.994715,0.996723,-0.00861,-0.002522,-0.010619,1355
vjepa2_rep1,0,Q1 (hardest),2,0.952929,0.962039,0.962804,0.946772,-0.009875,-0.00911,0.006157,1355
vjepa2_rep1,0,Q2,2,0.979177,0.981888,0.983028,0.98389,-0.00385,-0.002711,-0.004712,1355
vjepa2_rep1,0,Q3,2,0.983991,0.985935,0.987678,0.990391,-0.003688,-0.001944,-0.006401,1354
vjepa2_rep1,0,Q4 (easiest),2,0.986015,0.987064,0.992018,0.995644,-0.006003,-0.001049,-0.009629,1355
vjepa2_rep1,0,Q1 (hardest),3,0.944191,0.954599,0.953393,0.92934,-0.009202,-0.010407,0.014851,1355
vjepa2_rep1,0,Q2,3,0.976801,0.978571,0.978731,0.978396,-0.001931,-0.00177,-0.001595,1355
vjepa2_rep1,0,Q3,3,0.983081,0.983288,0.984394,0.987592,-0.001312,-0.000206,-0.004511,1354
vjepa2_rep1,0,Q4 (easiest),3,0.985944,0.985061,0.989707,0.994668,-0.003763,0.000884,-0.008723,1355
vjepa2_rep1,0,Q1 (hardest),4,0.934435,0.947855,0.945904,0.915855,-0.011469,-0.01342,0.01858,1355
vjepa2_rep1,0,Q2,4,0.974354,0.974824,0.974387,0.973635,-3.3e-05,-0.00047,0.000718,1355
vjepa2_rep1,0,Q3,4,0.98182,0.981146,0.981654,0.984911,0.000166,0.000674,-0.003091,1354
vjepa2_rep1,0,Q4 (easiest),4,0.985512,0.982717,0.98755,0.993795,-0.002038,0.002795,-0.008284,1355
vjepa2_rep1,1,Q1 (hardest),1,0.963378,0.97068,0.975022,0.971804,-0.011644,-0.007302,-0.008426,1355
vjepa2_rep1,1,Q2,1,0.981214,0.984757,0.98843,0.990297,-0.007216,-0.003543,-0.009083,1355
vjepa2_rep1,1,Q3,1,0.985364,0.987861,0.991644,0.993898,-0.00628,-0.002497,-0.008533,1354
vjepa2_rep1,1,Q4 (easiest),1,0.984474,0.988144,0.994097,0.996924,-0.009622,-0.00367,-0.01245,1355
vjepa2_rep1,1,Q1 (hardest),2,0.955452,0.960492,0.960255,0.950291,-0.004803,-0.00504,0.005161,1355
vjepa2_rep1,1,Q2,2,0.979808,0.981471,0.982533,0.984679,-0.002725,-0.001662,-0.004871,1355
vjepa2_rep1,1,Q3,2,0.984894,0.98559,0.987255,0.99094,-0.002361,-0.000696,-0.006046,1354
vjepa2_rep1,1,Q4 (easiest),2,0.984719,0.986067,0.991426,0.995913,-0.006707,-0.001348,-0.011194,1355
vjepa2_rep1,1,Q1 (hardest),3,0.948747,0.952985,0.950228,0.933761,-0.001481,-0.004238,0.014986,1355
vjepa2_rep1,1,Q2,3,0.977694,0.977424,0.977994,0.979546,-0.000301,0.000269,-0.001852,1355
vjepa2_rep1,1,Q3,3,0.983422,0.982888,0.983932,0.988278,-0.00051,0.000534,-0.004856,1354
vjepa2_rep1,1,Q4 (easiest),3,0.985304,0.984473,0.989367,0.994996,-0.004063,0.000831,-0.009691,1355
vjepa2_rep1,1,Q1 (hardest),4,0.941551,0.945945,0.941916,0.920741,-0.000366,-0.004395,0.020809,1355
