encoder,quartile,horizon,dit_x0_cossim,mlp_fair_cossim,mlp_residual_cossim,copy_cossim,dit_minus_mlp_residual,dit_minus_mlp_fair,dit_minus_copy,n_windows,n_seeds
vjepa2_rep64,Q4 (easiest),1,0.9893569946289062,0.9902430176734924,0.9967880249023438,0.9980930089950562,-0.007431000005453825,-0.0008859999943524599,-0.008736000396311283,1355,3
vjepa2_rep64,Q4 (easiest),2,0.9889129996299744,0.9884229898452759,0.9941909909248352,0.9962310194969177,-0.005278999917209148,0.0004900000058114529,-0.007319000083953142,1355,3
vjepa2_rep64,Q4 (easiest),3,0.9881830215454102,0.985614001750946,0.9919540286064148,0.9945440292358398,-0.003771000076085329,0.0025690000038594007,-0.006360999774187803,1355,3
vjepa2_rep64,Q4 (easiest),4,0.98750901222229,0.9830570220947266,0.9901170134544373,0.9932810068130493,-0.002609000075608492,0.00445199990645051,-0.005772999953478575,1355,3
vq_track,Q1 (hardest),1,0.9851469993591309,0.9878079891204834,0.9879609942436218,0.9879590272903442,-0.002814000006765127,-0.00266100000590086,-0.0028119999915361404,1355,3
vq_track,Q1 (hardest),2,0.981469988822937,0.9827830195426941,0.9827659726142883,0.9817000031471252,-0.0012959999730810523,-0.0013119999784976244,-0.0002300000051036477,1355,3
vq_track,Q1 (hardest),3,0.9782310128211975,0.9790560007095337,0.9782230257987976,0.9766420125961304,7.999999979801942e-06,-0.0008249999955296516,0.001588999992236495,1355,3
vq_track,Q1 (hardest),4,0.9759820103645325,0.976157009601593,0.9748219847679138,0.9727740287780762,0.0011599999852478504,-0.00017600000137463212,0.003206999972462654,1355,3
vq_track,Q2,1,0.9915459752082825,0.9941020011901855,0.9943810105323792,0.9958199858665466,-0.0028359999414533377,-0.0025569999124854803,-0.004273999948054552,1355,3
vq_track,Q2,2,0.990680992603302,0.9920870065689087,0.9921510219573975,0.9938660264015198,-0.0014690000098198652,-0.0014049999881535769,-0.0031840000301599503,1355,3
vq_track,Q2,3,0.9900670051574707,0.9905250072479248,0.990676999092102,0.9924539923667908,-0.0006099999882280827,-0.0004579999949783087,-0.0023870000150054693,1355,3
vq_track,Q2,4,0.9889100193977356,0.9891359806060791,0.9889209866523743,0.991225004196167,-1.1000000085914508e-05,-0.00022499999613501132,-0.002314999932423234,1355,3
vq_track,Q3,1,0.9939460158348083,0.9961469769477844,0.9966239929199219,0.9978629946708679,-0.0026779999025166035,-0.0022009999956935644,-0.003916999790817499,1354,3
vq_track,Q3,2,0.9935839772224426,0.9948520064353943,0.995136022567749,0.9969040155410767,-0.001551999943330884,-0.0012679999927058816,-0.0033199999015778303,1354,3
vq_track,Q3,3,0.9930049777030945,0.9938610196113586,0.9940779805183411,0.996275007724762,-0.0010730000212788582,-0.0008549999911338091,-0.0032689999788999557,1354,3
vq_track,Q3,4,0.9928230047225952,0.9928169846534729,0.992883026599884,0.9956939816474915,-5.999999848427251e-05,6.000000212225132e-06,-0.0028719999827444553,1354,3
vq_track,Q4 (easiest),1,0.9917190074920654,0.9961410164833069,0.997759997844696,0.9993810057640076,-0.006041000131517649,-0.004422000143676996,-0.007662999909371138,1355,3
vq_track,Q4 (easiest),2,0.9915599822998047,0.9950309991836548,0.9967489838600159,0.9991229772567749,-0.00518900016322732,-0.0034719998948276043,-0.007563999854028225,1355,3
vq_track,Q4 (easiest),3,0.9913600087165833,0.9939939975738525,0.9958850145339966,0.9989259839057922,-0.004525000229477882,-0.0026340000331401825,-0.007565000094473362,1355,3
vq_track,Q4 (easiest),4,0.9911140203475952,0.9933909773826599,0.9954010248184204,0.9987819790840149,-0.0042860000394284725,-0.00227600010111928,-0.007666999939829111,1355,3
