encoder,policy,scene_name,scenario,n,steer_rmse,accel_rmse
clip_b32,right,scene-0521,intersection,40,0.034484589510280654,0.06164754661661876
clip_b32,right,scene-0556,intersection,40,0.34214131650780355,0.06870480728481305
clip_b32,right,scene-0561,intersection,40,0.1810939789892441,0.046773618278912035
clip_b32,right,scene-0635,urban,40,0.027569750846339034,0.021052239189145144
clip_b32,right,scene-0638,intersection,41,0.2310717719945101,0.06279402008021977
clip_b32,right,scene-0770,urban,40,0.07050732209037507,0.03923278505061905
clip_b32,right,scene-0771,urban,41,0.06815559485086664,0.039904556112755396
clip_b32,right,scene-0777,urban,40,0.07640858548521172,0.03504355321004369
clip_b32,right,scene-0796,intersection,40,0.030782820596390013,0.05008773112784342
clip_b32,right,scene-0904,intersection,41,0.03720466882886955,0.03442911372942523
clip_b32,right,scene-0905,intersection,40,0.041213446276260605,0.02936167954971165
clip_b32,right,scene-0906,intersection,41,0.07688402682462568,0.04920861106519902
clip_b32,right,scene-0913,urban,40,0.029959931494145668,0.02532910011213545
clip_b32,right,scene-0914,intersection,41,0.1617855773164484,0.06792797238908185
clip_b32,right,scene-0919,urban,39,0.27561365803499105,0.07259140750480127
clip_b32,lead,scene-0003,urban,40,0.0694861960682512,0.06359803673654812
clip_b32,lead,scene-0013,urban,40,0.04897602263053251,0.03381091242132326
clip_b32,lead,scene-0017,intersection,40,0.10873243762139717,0.060574825071682104
clip_b32,lead,scene-0092,urban,40,0.026780262031646872,0.03675092627549233
clip_b32,lead,scene-0096,intersection,39,0.03807693339222864,0.08846258111764732
clip_b32,lead,scene-0098,urban,39,0.05514501575859789,0.034081471470503465
clip_b32,lead,scene-0103,urban,40,0.046654022695704685,0.11339396767302048
clip_b32,lead,scene-0106,intersection,40,0.08398638912015154,0.0553972105631695
clip_b32,lead,scene-0107,intersection,40,0.033274379559220725,0.06295137226443262
clip_b32,lead,scene-0110,urban,40,0.04034123009059936,0.025468594073520485
clip_b32,lead,scene-0269,urban,40,0.17958463434966906,0.058948983863526344
clip_b32,lead,scene-0271,urban,39,0.12859670862470376,0.08704751050781845
clip_b32,lead,scene-0273,urban,39,0.05098297789700545,0.08324842998763757
clip_b32,lead,scene-0276,intersection,40,0.1031512744910314,0.09538950547892544
clip_b32,lead,scene-0346,intersection,40,0.061970899669690674,0.07957891243574669
clip_b32,lead,scene-0521,intersection,40,0.024849144890395868,0.05426532585562092
clip_b32,lead,scene-0556,intersection,40,0.33856203165734305,0.08172385154085043
clip_b32,lead,scene-0561,intersection,40,0.18530030969637928,0.053238126202565635
clip_b32,lead,scene-0635,urban,40,0.010496663794531604,0.01776329972462679
